Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Sargans
Altitude [m asl]:         585 m
Coordinates:              47° 3.2' N / 9° 26.4' E

Reference date of homogenization:
         Precipitation:   01.12.2019

Last inhomogeneity provisionally corrected:
         Precipitation:   no

Units:
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month      Precipitation  
1939     11              265.1  
1939     12               95.5  
1940      1              104.3  
1940      2              116.0  
1940      3              108.9  
1940      4              131.0  
1940      5              185.7  
1940      6              144.4  
1940      7              249.0  
1940      8              138.7  
1940      9              191.4  
1940     10               41.4  
1940     11              150.2  
1940     12              150.2  
1941      1               51.5  
1941      2               68.7  
1941      3               72.4  
1941      4               52.2  
1941      5              144.0  
1941      6               63.9  
1941      7              138.5  
1941      8              202.2  
1941      9               82.2  
1941     10              162.4  
1941     11               73.2  
1941     12               80.7  
1942      1              168.7  
1942      2               52.0  
1942      3               69.6  
1942      4               56.3  
1942      5              107.6  
1942      6              126.8  
1942      7              120.0  
1942      8              149.8  
1942      9              115.6  
1942     10              131.3  
1942     11               79.7  
1942     12               31.7  
1943      1              133.5  
1943      2               44.2  
1943      3               45.3  
1943      4              115.9  
1943      5              111.7  
1943      6              209.9  
1943      7               78.5  
1943      8               56.6  
1943      9              150.9  
1943     10                0.0  
1943     11              106.9  
1943     12               55.3  
1944      1              148.9  
1944      2              207.5  
1944      3              167.0  
1944      4               69.6  
1944      5               52.4  
1944      6              118.1  
1944      7              135.8  
1944      8               35.6  
1944      9              126.6  
1944     10              116.2  
1944     11              298.8  
1944     12              119.7  
1945      1               62.7  
1945      2              122.8  
1945      3              237.7  
1945      4              111.9  
1945      5              113.5  
1945      6               83.3  
1945      7               82.2  
1945      8              224.1  
1945      9              224.0  
1945     10               55.2  
1945     11               84.5  
1945     12              141.5  
1946      1               78.1  
1946      2              221.0  
1946      3               34.9  
1946      4               26.0  
1946      5               85.2  
1946      6              199.7  
1946      7              176.6  
1946      8              130.1  
1946      9               57.5  
1946     10               89.0  
1946     11               47.2  
1946     12               48.3  
1947      1               71.7  
1947      2               33.7  
1947      3              105.2  
1947      4               49.1  
1947      5               52.3  
1947      6              132.8  
1947      7              161.8  
1947      8               99.8  
1947      9               54.6  
1947     10               38.4  
1947     11              281.9  
1947     12              190.4  
1948      1              151.0  
1948      2              170.9  
1948      3               64.6  
1948      4               53.2  
1948      5               59.4  
1948      6              240.9  
1948      7              213.4  
1948      8              128.3  
1948      9               73.1  
1948     10               53.8  
1948     11               23.7  
1948     12               53.8  
1949      1              137.1  
1949      2               41.3  
1949      3              110.3  
1949      4              143.5  
1949      5               63.7  
1949      6               61.7  
1949      7              121.1  
1949      8              131.6  
1949      9               78.0  
1949     10               38.9  
1949     11               59.5  
1949     12               93.1  
1950      1              126.0  
1950      2              109.5  
1950      3               38.8  
1950      4              123.2  
1950      5               72.9  
1950      6               69.8  
1950      7              152.2  
1950      8              162.3  
1950      9              140.5  
1950     10               23.5  
1950     11              263.4  
1950     12               28.1  
1951      1              210.1  
1951      2              113.3  
1951      3              121.6  
1951      4               80.8  
1951      5               46.9  
1951      6              155.7  
1951      7               83.6  
1951      8              135.2  
1951      9               70.1  
1951     10               28.6  
1951     11              136.0  
1951     12               30.6  
1952      1              117.4  
1952      2              155.6  
1952      3               91.7  
1952      4               47.6  
1952      5               82.9  
1952      6               97.8  
1952      7              110.5  
1952      8              143.5  
1952      9              199.8  
1952     10              190.8  
1952     11              284.1  
1952     12              122.1  
1953      1               46.6  
1953      2               48.7  
1953      3               18.5  
1953      4               94.0  
1953      5              122.9  
1953      6              194.9  
1953      7              167.9  
1953      8               68.1  
1953      9               75.9  
1953     10               68.3  
1953     11               15.0  
1953     12               49.1  
1954      1              174.7  
1954      2               57.1  
1954      3               18.3  
1954      4              116.9  
1954      5              112.4  
1954      6              130.3  
1954      7              177.5  
1954      8              253.8  
1954      9              157.3  
1954     10               98.4  
1954     11               53.7  
1954     12              204.1  
1955      1              143.3  
1955      2              165.8  
1955      3               60.4  
1955      4              108.1  
1955      5               93.3  
1955      6              138.3  
1955      7              217.8  
1955      8              138.7  
1955      9               91.1  
1955     10               51.3  
1955     11               28.5  
1955     12              126.0  
1956      1              101.2  
1956      2               51.7  
1956      3              114.2  
1956      4              119.7  
1956      5              141.9  
1956      6              169.1  
1956      7              109.4  
1956      8              232.5  
1956      9              103.2  
1956     10              148.1  
1956     11               82.4  
1956     12               19.8  
1957      1               39.6  
1957      2              143.9  
1957      3               80.6  
1957      4               88.4  
1957      5              107.5  
1957      6              110.9  
1957      7              164.4  
1957      8              174.3  
1957      9              125.3  
1957     10               16.2  
1957     11               15.6  
1957     12               33.7  
1958      1               92.3  
1958      2              311.5  
1958      3               70.6  
1958      4              136.4  
1958      5               62.3  
1958      6              127.3  
1958      7              163.9  
1958      8              153.8  
1958      9               63.8  
1958     10              192.1  
1958     11               44.9  
1958     12               95.5  
1959      1              125.7  
1959      2               25.8  
1959      3               46.6  
1959      4               88.1  
1959      5               92.4  
1959      6              196.8  
1959      7               97.8  
1959      8               52.8  
1959      9               51.7  
1959     10              128.2  
1959     11               77.3  
1959     12               89.5  
1960      1              102.7  
1960      2               56.3  
1960      3               65.0  
1960      4               95.5  
1960      5              103.0  
1960      6              143.8  
1960      7              201.6  
1960      8              178.3  
1960      9              204.1  
1960     10              114.5  
1960     11               94.3  
1960     12               78.7  
1961      1               52.6  
1961      2              141.7  
1961      3               72.1  
1961      4               72.0  
1961      5              260.6  
1961      6              116.4  
1961      7              157.2  
1961      8              182.1  
1961      9               18.4  
1961     10               66.4  
1961     11               52.5  
1961     12              138.0  
1962      1              161.1  
1962      2              140.9  
1962      3               89.4  
1962      4               85.8  
1962      5              180.3  
1962      6               70.7  
1962      7              132.5  
1962      8              137.4  
1962      9               64.2  
1962     10               25.0  
1962     11               39.1  
1962     12              223.6  
1963      1               67.3  
1963      2               30.0  
1963      3              121.2  
1963      4              101.3  
1963      5              102.3  
1963      6              165.0  
1963      7               88.6  
1963      8              206.6  
1963      9              101.5  
1963     10               81.1  
1963     11              112.5  
1963     12               17.3  
1964      1               26.7  
1964      2               51.7  
1964      3              116.0  
1964      4              101.3  
1964      5              148.5  
1964      6              109.6  
1964      7               90.3  
1964      8              151.0  
1964      9               80.3  
1964     10              142.3  
1964     11              166.6  
1964     12               54.4  
1965      1               92.8  
1965      2               91.7  
1965      3              100.6  
1965      4              213.1  
1965      5              155.4  
1965      6              210.8  
1965      7              139.5  
1965      8              185.1  
1965      9              234.7  
1965     10                2.6  
1965     11              154.0  
1965     12              238.1  
1966      1               75.4  
1966      2              130.7  
1966      3              198.9  
1966      4              100.4  
1966      5              184.1  
1966      6              159.9  
1966      7              242.0  
1966      8              230.6  
1966      9               46.5  
1966     10               67.3  
1966     11              127.5  
1966     12              200.8  
1967      1              160.8  
1967      2               78.2  
1967      3              264.5  
1967      4              106.1  
1967      5              156.5  
1967      6              131.4  
1967      7              156.1  
1967      8              105.1  
1967      9              176.7  
1967     10               54.7  
1967     11               86.2  
1967     12              119.2  
1968      1              308.5  
1968      2               42.0  
1968      3               94.3  
1968      4               71.9  
1968      5              128.3  
1968      6               77.4  
1968      7              192.6  
1968      8              185.5  
1968      9              203.4  
1968     10               32.2  
1968     11               33.5  
1968     12              105.8  
1969      1               74.8  
1969      2               64.1  
1969      3               49.6  
1969      4              218.1  
1969      5               99.7  
1969      6              203.7  
1969      7               92.5  
1969      8              212.7  
1969      9               32.2  
1969     10               24.6  
1969     11              157.9  
1969     12              102.6  
1970      1               61.9  
1970      2              321.7  
1970      3              104.9  
1970      4              205.3  
1970      5              121.4  
1970      6               57.1  
1970      7              132.6  
1970      8              258.7  
1970      9               99.1  
1970     10              211.5  
1970     11              137.1  
1970     12               88.0  
1971      1                9.9  
1971      2              137.8  
1971      3               54.5  
1971      4               28.1  
1971      5               89.0  
1971      6              224.9  
1971      7               75.2  
1971      8              167.1  
1971      9               58.5  
1971     10               25.0  
1971     11              103.6  
1971     12               60.6  
1972      1               18.4  
1972      2               16.0  
1972      3               41.7  
1972      4              145.5  
1972      5              121.0  
1972      6              109.6  
1972      7              174.4  
1972      8              106.8  
1972      9               45.7  
1972     10              124.9  
1972     11              184.7  
1972     12               14.2  
1973      1              112.3  
1973      2              116.6  
1973      3               34.9  
1973      4              137.4  
1973      5               90.3  
1973      6              140.7  
1973      7              227.9  
1973      8               73.5  
1973      9               65.5  
1973     10              158.9  
1973     11              188.4  
1973     12              167.9  
1974      1              112.3  
1974      2              108.7  
1974      3               53.2  
1974      4               90.2  
1974      5              133.1  
1974      6              175.4  
1974      7              167.5  
1974      8              130.7  
1974      9              156.3  
1974     10              210.7  
1974     11              191.3  
1974     12              232.0  
1975      1              151.3  
1975      2               31.8  
